label,Accession,Cardinality,HighestConfidenceScore,MeanConfidenceScore,MedianConfidenceScore,StDevConfidenceScore
1,sp|O60934|NBN_HUMAN,3,2.478,1.4306666666666668,1.347,1.008107302489836
1,sp|Q12874|SF3A3_HUMAN,15,5.276,3.1018000000000003,2.733,1.1722173250480719
1,sp|Q8NE71|ABCF1_HUMAN,24,4.904,2.7670833333333333,2.8075,0.9965020088405184
1,sp|P09429|HMGB1_HUMAN,33,5.509,3.0925454545454545,3.013,1.0673112271881233
1,sp|Q14C86|GAPD1_HUMAN,15,5.132,2.7508666666666666,2.338,1.0696714359804047
1,sp|Q8NEY8|PPHLN_HUMAN,1,2.08,2.08,2.08,2.983990616607231
1,sp|Q9GZN8|CT027_HUMAN,3,3.994,2.8343333333333334,2.668,1.0860949927761079
1,sp|Q9Y5J1|UTP18_HUMAN,4,4.624,2.7977499999999997,2.9635,1.684976829712108
1,sp|Q8N3F8|MILK1_HUMAN,1,3.106,3.106,3.106,2.983990616607231
1,sp|Q9H5H4|ZN768_HUMAN,1,2.553,2.553,2.553,2.983990616607231
1,sp|Q9NUP9|LIN7C_HUMAN,5,4.824,3.235,2.61,1.4523480987697128
1,sp|Q9BVP2|GNL3_HUMAN,13,5.793,3.0985384615384617,2.759,1.4948297904992738
1,sp|Q15651|HMGN3_HUMAN,7,4.207,2.8257142857142856,3.444,1.200264931072263
1,sp|P32929|CGL_HUMAN,4,3.521,2.5275,2.366,0.7838492627199866
1,sp|Q14161|GIT2_HUMAN,1,2.581,2.581,2.581,2.983990616607231
1,sp|P0DN76|U2AF5_HUMAN,9,4.822,3.165888888888889,3.302,1.2080400908542361
1,sp|P62750|RL23A_HUMAN,22,5.041,2.75,2.7,1.0372341885537528
1,sp|P07339|CATD_HUMAN,12,3.705,2.4185,2.0115,0.7968512465265453
1,sp|Q9BXR0|TGT_HUMAN,3,2.627,2.014666666666667,2.523,0.9719178634706398
1,sp|P33992|MCM5_HUMAN,37,5.176,2.529,2.553,0.8737289180416442
1,sp|Q9Y285|SYFA_HUMAN,15,8.259,2.9546666666666668,2.83,1.9457002289541885
1,sp|Q9BSJ8|ESYT1_HUMAN,8,3.157,2.302125,2.153,0.6020769854666191
1,sp|P63165|SUMO1_HUMAN,3,2.748,1.967,1.785,0.7077732687803349
1,sp|P98179|RBM3_HUMAN,6,4.457,3.1276666666666664,2.7645,1.0569063660829499
1,sp|P24928|RPB1_HUMAN,12,4.736,2.678,2.544,0.9448256212367733
1,sp|P57088|TMM33_HUMAN,9,4.681,2.797111111111111,2.48,1.3656170257839901
1,sp|P09132|SRP19_HUMAN,1,3.825,3.825,3.825,2.983990616607231
1,sp|Q06587|RING1_HUMAN,8,5.236,2.874,2.6159999999999997,1.207448313002022
1,sp|P62942|FKB1A_HUMAN,7,4.544,3.077285714285714,2.808,0.6751297935176894
1,sp|Q8IWA0|WDR75_HUMAN,10,5.361,2.8955,2.654,1.1717377645569373
1,sp|P68431|H31_HUMAN,36,2.717,1.7285277777777777,1.6684999999999999,0.4667922441583077
1,sp|Q8WX92|NELFB_HUMAN,2,3.359,2.8285,2.8285,0.750240294838927
1,sp|Q9NR31|SAR1A_HUMAN,7,2.876,2.3885714285714283,2.387,0.37357589909006755
1,sp|Q5T4S7|UBR4_HUMAN,11,5.596,2.6475454545454546,2.526,1.1432418260050115
1,sp|P52294|IMA5_HUMAN,8,3.572,2.666875,2.7190000000000003,0.7518102795443617
1,sp|Q969G3|SMCE1_HUMAN,2,2.353,2.1195,2.1195,0.33021886681411794
1,sp|Q96ER9|CCD51_HUMAN,4,4.971,3.733,4.0825,1.361672256210478
1,sp|P36578|RL4_HUMAN,55,5.15,2.774672727272727,2.475,1.09514869706669
1,sp|O75521|ECI2_HUMAN,6,4.163,2.4286666666666665,1.9489999999999998,1.2010952779303843
1,sp|Q14203|DCTN1_HUMAN,18,4.626,2.6218333333333335,2.2445000000000004,0.8196667364383707
1,sp|Q13148|TADBP_HUMAN,13,5.861,2.765230769230769,2.504,1.3919767810471406
1,sp|P62834|RAP1A_HUMAN,3,4.621,3.2976666666666667,2.905,1.1771870426288824
1,sp|P31943|HNRH1_HUMAN,41,5.689,3.252219512195122,3.114,1.377655989574232
1,sp|Q9UHV9|PFD2_HUMAN,6,4.103,3.1653333333333333,3.393,0.860238494062354
1,sp|Q96SU4|OSBL9_HUMAN,4,2.93,2.34275,2.599,0.7544734919134005
1,sp|P08579|RU2B_HUMAN,8,4.999,2.745375,2.341,1.2753876651546272
1,sp|P61006|RAB8A_HUMAN,8,3.175,2.1226249999999998,1.891,0.6631674939259311
1,sp|Q96A00|PP14A_HUMAN,1,4.204,4.204,4.204,2.983990616607231
1,sp|Q13618|CUL3_HUMAN,14,3.674,2.5806428571428572,2.4545,0.6208736533358405
1,sp|Q96I99|SUCB2_HUMAN,12,3.46,2.494083333333333,2.4145000000000003,0.5788384070836623
1,sp|P07947|YES_HUMAN,7,3.085,1.9554285714285715,1.874,0.7195370866380822
1,sp|Q13363|CTBP1_HUMAN,5,4.634,3.2034,2.532,1.2700833830894727
1,sp|P19387|RPB3_HUMAN,1,2.298,2.298,2.298,2.983990616607231
1,sp|P63027|VAMP2_HUMAN,3,6.817,4.750666666666667,3.998,1.8113476566726041
1,sp|P26640|SYVC_HUMAN,31,4.018,2.706290322580645,2.672,0.9092106170940588
